title,c_prod_bud,domestic_box_office,domestic_box_office_roi
Basic Instinct 2,70000000,5946136.0,-0.915
Basquiat,3000000,2962051.0,-0.013
Bathing Beauty,2361000,3500000.0,0.482
Bathory,15000000,0.0,-1.0
Batman,35000000,251188924.0,6.177
Batman & Robin,125000000,107325195.0,-0.141
Batman Begins,150000000,205343774.0,0.369
Batman Forever,100000000,184031112.0,0.84
Batman Returns,80000000,162833635.0,1.035
Batman v Superman: Dawn of Justice,250000000,330360194.0,0.321
Bats,6500000,10155691.0,0.562
Battle for the Planet of the Apes,1800000,8800000.0,3.889
Battle of the Year,20000000,8888355.0,-0.556
Battle: Los Angeles,70000000,83552429.0,0.194
Battlefield Earth: A Saga of the Year 3000,80000000,21471685.0,-0.732
Battleship,209000000,65233400.0,-0.688
Be Cool,75000000,55849401.0,-0.255
Be Kind Rewind,20000000,11175164.0,-0.441
Beastly,17000000,27865571.0,0.639
Beastmaster 2: Through the Portal of Time,6000000,773490.0,-0.871
Beasts of the Southern Wild,1800000,12795746.0,6.109
Beautiful,9000000,3134509.0,-0.652
Beautiful Creatures,50000000,19452138.0,-0.611
Beauty Shop,25000000,36351350.0,0.454
Beauty and the Beast,20000000,218951625.0,9.948
Beavis and Butt-head Do America,12000000,63118386.0,4.26
Because I Said So,39000000,42674040.0,0.094
Because of Winn-Dixie,15000000,32647042.0,1.176
Becoming Jane,16500000,18663911.0,0.131
Bedazzled,48000000,37879996.0,-0.211
Bedtime Stories,80000000,110101975.0,0.376
Bee Movie,150000000,126631277.0,-0.156
Beerfest,17500000,19185184.0,0.096
Beetle Juice,15000000,73326666.0,3.888
Before I Go to Sleep,22000000,3242457.0,-0.853
Before Midnight,3000000,8110621.0,1.704
Before Sunrise,2500000,5274005.0,1.11
Before Sunset,2000000,5792822.0,1.896
Before We Go,3000000,37151.0,-0.988
Begin Again,8000000,16170632.0,1.021
Beginners,3200000,5790894.0,0.81
Behind Enemy Lines,40000000,58855732.0,0.471
Being John Malkovich,13000000,22858926.0,0.758
Being Julia,18000000,7739049.0,-0.57
Belka i Strelka. Zvezdnye sobaki,25000000,0.0,-1.0
Bella,3300000,8093373.0,1.453
Beloved,53000000,22852487.0,-0.569
Ben-Hur,95000000,26410477.0,-0.722
Bend it Like Beckham,5600000,32543449.0,4.811
Beneath Hill 60,9000000,0.0,-1.0
Beneath the Planet of the Apes,3000000,17489009.0,4.83
Benji,500000,31559560.0,62.119
Beowulf,150000000,82195215.0,-0.452
Bernie,6000000,9204489.0,0.534
Best in Show,6000000,18621249.0,2.104
Better Luck Tomorrow,250000,3802390.0,14.21
Betty Fisher et autres histoires,7500000,206400.0,-0.972
Beverly Hills Chihuahua,20000000,94514402.0,3.726
Beverly Hills Cop,15000000,234760478.0,14.651
Beverly Hills Cop II,20000000,153665036.0,6.683
Beverly Hills Cop III,50000000,42586861.0,-0.148
Bewitched,80000000,63313159.0,-0.209
Beyond Borders,60000000,4426297.0,-0.926
Beyond the Black Rainbow,1100000,56491.0,-0.949
Beyond the Brick: A LEGO Brickumentary,1000000,101531.0,-0.898
Beyond the Lights,7000000,14618727.0,1.088
Beyond the Mat,500000,2047570.0,3.095
Beyond the Sea,24000000,6144806.0,-0.744
Beyond the Valley of the Dolls,1000000,9000000.0,8.0
Bicentennial Man,90000000,58220776.0,-0.353
Bienvenue chez les Ch'tis,16000000,1477650.0,-0.908
Big,18000000,114968774.0,5.387
Big Daddy,30000000,163479795.0,4.449
Big Eyes,10000000,14482031.0,0.448
Big Fat Liar,15000000,47811275.0,2.187
Big Fish,70000000,66432867.0,-0.051
Big Hero 6,165000000,222527828.0,0.349
Big Miracle,40000000,20157300.0,-0.496
Big Momma's House,33000000,117559438.0,2.562
Big Momma's House 2,40000000,70165972.0,0.754
"Big Mommas: Like Father, Like Son",32000000,37915414.0,0.185
Big Trouble,45000000,7262288.0,-0.839
Big Trouble in Little China,25000000,11100000.0,-0.556
Bill & Ted's Bogus Journey,20000000,37537675.0,0.877
Bill & Ted's Excellent Adventure,10000000,40485039.0,3.049
Billy Elliot,5000000,21995263.0,3.399
Billy Lynn’s Long Halftime Walk,40000000,1738477.0,-0.957
Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598.0,1.352
Birth,20000000,5005899.0,-0.75
Birthday Girl,13000000,4919896.0,-0.622
Biutiful,35000000,5101237.0,-0.854
Black Christmas,9000000,16235738.0,0.804
Black Hawk Down,95000000,108638745.0,0.144
Black Knight,35000000,33422806.0,-0.045
Black Mass,53000000,62575678.0,0.181
Black Nativity,17500000,7018188.0,-0.599
Black November,7500000,0.0,-1.0
Black Rain,30000000,45892212.0,0.53
Black Snake Moan,15000000,9396870.0,-0.374
Black Swan,13000000,106954678.0,7.227
Black and White,10000000,5241315.0,-0.476
Black or White,9000000,21571189.0,1.397
Blackhat,70000000,7889395.0,-0.887
Blackthorn,4500000,200558.0,-0.955
Blade,45000000,70141876.0,0.559
Blade 2,54000000,81676888.0,0.513
Blade Runner,28000000,32656328.0,0.166
Blade: Trinity,65000000,52397389.0,-0.194
Blades of Glory,61000000,118594548.0,0.944
Blair Witch,10000000,20777061.0,1.078
Blast from the Past,35000000,26613620.0,-0.24
Blazing Saddles,2600000,119500000.0,44.962
Bleed for This,16000000,5083906.0,-0.682
Blended,45000000,46290741.0,0.029
Bless the Child,40000000,29374178.0,-0.266
Blindness,25000000,3073392.0,-0.877
Blonde Ambition,10000000,6422.0,-0.999
Blood Diamond,100000000,57377916.0,-0.426
Blood Done Sign My Name,10000000,109383.0,-0.989
Blood Simple,1500000,1690913.0,0.127
Blood Ties,26000000,42472.0,-0.998
Blood Work,50000000,26199517.0,-0.476
Blood and Chocolate,15000000,3526588.0,-0.765
Blood and Wine,26000000,1083350.0,-0.958
BloodRayne,25000000,2405420.0,-0.904
Bloodsport,1500000,11806119.0,6.871
Blow,30000000,52990775.0,0.766
Blow Out,18000000,13747234.0,-0.236
Blue Car,1000000,464126.0,-0.536
Blue Crush,30000000,40118420.0,0.337
Blue Jasmine,18000000,33404871.0,0.856
Blue Like Jazz,1200000,595018.0,-0.504
Blue Ruin,420000,258384.0,-0.385
Blue Streak,36000000,68208190.0,0.895
Blue Valentine,1000000,9737892.0,8.738
Boat Trip,15000000,8586376.0,-0.428
Bobby,14000000,11242801.0,-0.197
Bobby Jones: Stroke of Genius,17000000,2694071.0,-0.842
Body Double,10000000,8801940.0,-0.12
Body of Lies,67500000,39394666.0,-0.416
Bogus,32000000,4357406.0,-0.864
Boiler Room,9000000,16963963.0,0.885
Bolt,150000000,114053759.0,-0.24
"Bon Cop, Bad Cop",8000000,12671300.0,0.584
Bon Voyage,20000000,2353728.0,-0.882
Bones,10000000,7316658.0,-0.268
Boogeyman,20000000,46752382.0,1.338
Boogie Nights,15000000,26410771.0,0.761
Book of Shadows: Blair Witch 2,15000000,26421314.0,0.761
Boom Town,2000000,9172000.0,3.586
Boomerang,42000000,70052444.0,0.668
Borat,18000000,128505958.0,6.139
Born on the Fourth of July,14000000,70001698.0,4.0
Born to Fly: Elizabeth Streb vs. Gravity,500000,1822.0,-0.996
Bottle Rocket,5000000,407488.0,-0.919
Bottle Shock,5000000,4078607.0,-0.184
Bounce,35000000,36805288.0,0.052
Bound,4500000,3802260.0,-0.155
Bound by Honor,35000000,4496583.0,-0.872
Bowfinger,55000000,66458769.0,0.208
Bowling for Columbine,3000000,21576018.0,6.192
Boyhood,4000000,25379975.0,5.345
Boynton Beach Club,2900000,3127472.0,0.078
Boys Don't Cry,2000000,11540607.0,4.77
Boys and Girls,16000000,21799652.0,0.362
Boyz n the Hood,6500000,56190094.0,7.645
Braindead,3000000,242623.0,-0.919
Brainstorm,15000000,8921050.0,-0.405
Bram Stoker's Dracula,40000000,82522790.0,1.063
Bran Nue Dae,6750000,113568.0,-0.983
Brave,185000000,237282182.0,0.283
Braveheart,72000000,75545647.0,0.049
Brazil,15000000,9929135.0,-0.338
Breakdown,36000000,50159144.0,0.393
Breakfast of Champions,12000000,178287.0,-0.985
Breakin' All the Rules,9000000,12232382.0,0.359
Breaking Upwards,15000,115592.0,6.706
Brick,450000,2075743.0,3.613
Brick Lane,2500000,1094998.0,-0.562
Brick Mansions,28000000,20396829.0,-0.272
Bride & Prejudice,7000000,6601079.0,-0.057
Bride Wars,30000000,58715510.0,0.957
Bride of Chucky,25000000,32404188.0,0.296
Bridesmaids,32500000,169106725.0,4.203
Bridge of Spies,40000000,72313754.0,0.808
Bridge to Terabithia,25000000,82234139.0,2.289
Bridget Jones's Diary,25000000,71500556.0,1.86
Bridget Jones: The Edge Of Reason,50000000,40203020.0,-0.196
Bridget Jones’s Baby,35000000,24139805.0,-0.31
Brigham City,1000000,852206.0,-0.148
"Bright Lights, Big City",25000000,16118077.0,-0.355
Bright Star,8500000,4444637.0,-0.477
Brighton Rock,11000000,229653.0,-0.979
Bring it On,10000000,68353550.0,5.835
Bringing Down the House,20000000,132675402.0,5.634
Bringing Out The Dead,32000000,16640210.0,-0.48
Brokeback Mountain,13900000,83043761.0,4.974
Brokedown Palace,25000000,10115014.0,-0.595
Broken Arrow,65000000,70645997.0,0.087
Broken City,35000000,19701164.0,-0.437
Broken Horses,15000000,0.0,-1.0
Broken Vessels,600000,15030.0,-0.975
Bronson,230000,104979.0,-0.544
